date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2025-09,S001,P001,타이레놀정 500mg,일반의약품,해열진통제,box,11,13,225,12
2025-09,S001,P002,펜잘큐정,일반의약품,해열진통제,box,24,18,275,19
2025-09,S001,P003,판콜에이스캡슐,일반의약품,감기약,box,17,13,213,13
2025-09,S001,P004,콜대원코프시럽,일반의약품,감기약,bottle,19,15,257,15
2025-09,S001,P005,훼스탈플러스정,일반의약품,소화제,box,16,17,244,17
2025-09,S001,P006,베아제정,일반의약품,소화제,box,40,33,231,30
2025-09,S001,P007,스멕타현탁액,일반의약품,지사제,sachet,12,13,249,13
2025-09,S001,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,10,9,389,9
2025-09,S001,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,12,11,356,11
2025-09,S001,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,16,13,364,12
2025-09,S001,P011,세파클러캡슐,전문의약품,항생제,box,16,15,416,14
2025-09,S001,P012,클라리스로마이신정,전문의약품,항생제,box,12,11,347,12
2025-09,S001,P013,옥시코돈서방정,전문의약품,진통소염제,box,12,12,347,12
2025-09,S001,P014,덱시부프로펜정,전문의약품,진통소염제,box,8,6,346,6
2025-09,S001,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,14,15,348,15
2025-09,S001,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,8,8,249,8
2025-09,S001,P017,카베진코와알파정,일반의약품,소화제,box,19,18,203,17
2025-09,S001,P018,마그밀정,일반의약품,변비약,box,19,18,205,17
2025-09,S001,P019,케토톱패취,일반의약품,외용제,pack,41,36,196,36
2025-09,S001,P020,후시딘연고,일반의약품,외용제,tube,9,11,204,11
2025-09,S001,P021,센소다인치약,의약외품,구강청결제,bottle,19,20,199,20
2025-09,S001,P022,리스테린오랄린스,의약외품,구강청결제,bottle,5,4,233,4
2025-09,S001,P023,일회용마스크 KF94,의약외품,마스크,box,0,0,180,0
2025-09,S001,P024,손소독제겔,의약외품,손소독제,bottle,9,7,257,7
2025-09,S001,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,11,10,293,10
2025-09,S001,P026,전자체온계,의약외품,체온계,box,0,0,180,0
2025-09,S001,P027,지르텍정(세티리진),일반의약품,알레르기약,box,12,11,269,12
2025-09,S001,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,14,10,180,11
2025-09,S001,P029,에스푸라민정,전문의약품,정신신경용제,box,17,15,382,16
2025-09,S001,P030,아로마민주,전문의약품,항암제,vial,11,11,338,10
2025-09,S002,P001,타이레놀정 500mg,일반의약품,해열진통제,box,26,31,273,34
2025-09,S002,P002,펜잘큐정,일반의약품,해열진통제,box,17,18,213,17
2025-09,S002,P003,판콜에이스캡슐,일반의약품,감기약,box,42,31,212,33
2025-09,S002,P004,콜대원코프시럽,일반의약품,감기약,bottle,27,33,228,30
2025-09,S002,P005,훼스탈플러스정,일반의약품,소화제,box,10,11,195,11
2025-09,S002,P006,베아제정,일반의약품,소화제,box,11,9,249,10
2025-09,S002,P007,스멕타현탁액,일반의약품,지사제,sachet,12,9,298,8
2025-09,S002,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,19,18,362,17
2025-09,S002,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,25,20,401,19
2025-09,S002,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,23,17,371,16
2025-09,S002,P011,세파클러캡슐,전문의약품,항생제,box,12,9,376,10
2025-09,S002,P012,클라리스로마이신정,전문의약품,항생제,box,20,19,357,20
2025-09,S002,P013,옥시코돈서방정,전문의약품,진통소염제,box,13,10,382,11
2025-09,S002,P014,덱시부프로펜정,전문의약품,진통소염제,box,8,10,385,10
2025-09,S002,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,13,15,355,16
2025-09,S002,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,29,23,239,24
2025-09,S002,P017,카베진코와알파정,일반의약품,소화제,box,42,32,247,31
2025-09,S002,P018,마그밀정,일반의약품,변비약,box,34,26,219,25
2025-09,S002,P019,케토톱패취,일반의약품,외용제,pack,37,29,156,27
2025-09,S002,P020,후시딘연고,일반의약품,외용제,tube,19,18,324,18
2025-09,S002,P021,센소다인치약,의약외품,구강청결제,bottle,26,26,245,24
2025-09,S002,P022,리스테린오랄린스,의약외품,구강청결제,bottle,18,16,194,15
2025-09,S002,P023,일회용마스크 KF94,의약외품,마스크,box,0,0,180,0
2025-09,S002,P024,손소독제겔,의약외품,손소독제,bottle,25,23,277,23
2025-09,S002,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,21,26,227,26
2025-09,S002,P026,전자체온계,의약외품,체온계,box,0,0,180,0
2025-09,S002,P027,지르텍정(세티리진),일반의약품,알레르기약,box,36,26,160,27
2025-09,S002,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,20,18,195,17
2025-09,S002,P029,에스푸라민정,전문의약품,정신신경용제,box,27,20,383,22
2025-09,S002,P030,아로마민주,전문의약품,항암제,vial,24,19,372,20
2025-09,S003,P001,타이레놀정 500mg,일반의약품,해열진통제,box,27,20,260,19
