date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2025-08,PHARM01,DS005,카올린정,일반의약품,지사제,box,80,42,257,66
2025-08,PHARM01,AN006,챔프시럽,일반의약품,해열진통제,bottle,68,39,99,48
2025-08,PHARM01,HB006,엑스포지정,전문의약품,고혈압_치료제,box,43,21,92,36
2025-08,PHARM01,TH004,수은온도계,의약외품,체온계,unit,64,32,279,42
2025-08,PHARM01,DS009,스톱디정,일반의약품,지사제,box,82,47,32,77
2025-08,PHARM01,HS006,메디컬 세니겔,의약외품,손소독제,gel,81,45,131,54
2025-08,PHARM01,SA008,메디가운,의약외품,방역용품,unit,108,36,33,51
2025-08,PHARM01,OC006,후라보노 구강청결제,의약외품,구강청결제,bottle,165,61,236,82
2025-08,PHARM01,DM001,글리메피리드정,전문의약품,당뇨병_치료제,box,76,44,225,63
2025-08,PHARM01,DM009,시타-메트정,전문의약품,당뇨병_치료제,box,99,52,76,87
2025-08,PHARM01,HS007,센서티브 세니타이저,의약외품,손소독제,gel,60,28,283,39
2025-08,PHARM01,PA004,제일파스,일반의약품,진통소염제,patch,81,29,123,45
2025-08,PHARM01,NP003,퀘티아핀정,전문의약품,정신신경용제,box,32,13,338,19
2025-08,PHARM01,DG006,디제정,일반의약품,소화제,box,246,83,274,109
2025-08,PHARM01,OG006,써큐란정,일반의약품,기타_일반의약품,box,108,37,97,47
2025-08,PHARM01,CG010,코푸시럽,일반의약품,감기약,bottle,93,33,76,53
2025-08,PHARM01,BD001,박카스밴드,의약외품,밴드_반창고,box,169,64,155,110
2025-08,PHARM01,SA007,방진마스크,의약외품,방역용품,pack,58,38,163,59
2025-08,PHARM01,HB009,하이드랄라진정,전문의약품,고혈압_치료제,box,27,10,81,12
2025-08,PHARM01,TH007,키즈이어체온계,의약외품,체온계,unit,99,43,79,71
2025-08,PHARM01,MM003,모션캡슐,일반의약품,멀미약,box,19,8,194,10
2025-08,PHARM01,OE001,헬스밴드,의약외품,기타_의약외품,box,145,83,173,99
2025-08,PHARM01,AB001,아목시실린캡슐,전문의약품,항생제,box,72,47,335,70
2025-08,PHARM01,DM007,아카보스정,전문의약품,당뇨병_치료제,box,22,14,91,25
2025-08,PHARM01,DG002,베아제정,일반의약품,소화제,box,45,18,256,22
2025-08,PHARM01,OP006,리스페리돈정,전문의약품,기타_전문의약품,box,190,64,320,93
2025-08,PHARM01,DM008,글리메-메트정,전문의약품,당뇨병_치료제,box,144,53,210,66
2025-08,PHARM01,TH001,전자체온계,의약외품,체온계,unit,72,44,281,58
2025-08,PHARM01,DG009,엔자임파우더,일반의약품,소화제,sachet,171,69,323,98
2025-08,PHARM01,DM010,다파-메트정,전문의약품,당뇨병_치료제,box,34,17,214,25
2025-08,PHARM01,SA004,멸균장갑,의약외품,방역용품,box,164,83,236,115
2025-08,PHARM01,HB007,카프토프릴정,전문의약품,고혈압_치료제,box,135,46,322,71
2025-08,PHARM01,BD010,클린밴드,의약외품,밴드_반창고,box,57,33,61,57
2025-08,PHARM01,DS006,디아리톨정,일반의약품,지사제,box,157,57,196,81
2025-08,PHARM01,DG003,가스모틴정,일반의약품,소화제,box,216,95,246,115
2025-08,PHARM01,NP004,알프라졸람정,전문의약품,정신신경용제,box,45,28,136,46
2025-08,PHARM01,AB008,클래리스로마이신정,전문의약품,항생제,box,69,45,347,63
2025-08,PHARM01,AN002,펜잘큐정,일반의약품,해열진통제,box,139,58,220,83
2025-08,PHARM01,MK010,블랙 마스크 중형,의약외품,마스크,pack,72,24,271,40
2025-08,PHARM01,EX010,아크네 스팟겔,일반의약품,외용제,tube,182,63,87,76
2025-08,PHARM01,NP001,에스시탈로프람정,전문의약품,정신신경용제,box,140,51,317,64
2025-08,PHARM01,DG010,트리몰정,일반의약품,소화제,box,52,33,174,56
2025-08,PHARM01,AN010,케토날캡슐,일반의약품,해열진통제,box,89,33,214,45
2025-08,PHARM01,MM005,롱액션멀미정,일반의약품,멀미약,box,104,66,219,97
